0.00 Hz | Z: -9.12 Magnitude: 4665.31
0.98 Hz | Z: -9.12 Magnitude: 4.60
1.95 Hz | Z: -9.12 Magnitude: 1.72
2.93 Hz | Z: -9.13 Magnitude: 1.00
3.91 Hz | Z: -9.12 Magnitude: 0.84
4.88 Hz | Z: -9.12 Magnitude: 0.16
5.86 Hz | Z: -9.12 Magnitude: 0.33
6.84 Hz | Z: -9.12 Magnitude: 0.20
7.81 Hz | Z: -9.12 Magnitude: 0.45
8.79 Hz | Z: -9.11 Magnitude: 0.74
9.77 Hz | Z: -9.12 Magnitude: 0.53
10.74 Hz | Z: -9.12 Magnitude: 0.14
11.72 Hz | Z: -9.11 Magnitude: 0.35
12.70 Hz | Z: -9.12 Magnitude: 0.24
13.67 Hz | Z: -9.12 Magnitude: 0.36
14.65 Hz | Z: -9.12 Magnitude: 0.31
15.63 Hz | Z: -9.13 Magnitude: 0.40
16.60 Hz | Z: -9.14 Magnitude: 0.28
17.58 Hz | Z: -9.14 Magnitude: 0.18
18.55 Hz | Z: -9.14 Magnitude: 0.21
19.53 Hz | Z: -9.13 Magnitude: 0.50
20.51 Hz | Z: -9.13 Magnitude: 0.58
21.48 Hz | Z: -9.12 Magnitude: 0.16
22.46 Hz | Z: -9.12 Magnitude: 0.25
23.44 Hz | Z: -9.12 Magnitude: 0.44
24.41 Hz | Z: -9.12 Magnitude: 0.08
25.39 Hz | Z: -9.12 Magnitude: 0.27
26.37 Hz | Z: -9.12 Magnitude: 0.11
27.34 Hz | Z: -9.12 Magnitude: 0.19
28.32 Hz | Z: -9.12 Magnitude: 0.41
29.30 Hz | Z: -9.13 Magnitude: 0.06
30.27 Hz | Z: -9.12 Magnitude: 0.30
31.25 Hz | Z: -9.12 Magnitude: 0.44
32.23 Hz | Z: -9.12 Magnitude: 0.35
33.20 Hz | Z: -9.11 Magnitude: 0.28
34.18 Hz | Z: -9.11 Magnitude: 0.22
35.16 Hz | Z: -9.11 Magnitude: 0.36
36.13 Hz | Z: -9.11 Magnitude: 0.27
37.11 Hz | Z: -9.12 Magnitude: 0.17
38.09 Hz | Z: -9.12 Magnitude: 0.18
39.06 Hz | Z: -9.12 Magnitude: 0.34
40.04 Hz | Z: -9.13 Magnitude: 0.16
41.02 Hz | Z: -9.13 Magnitude: 0.15
41.99 Hz | Z: -9.12 Magnitude: 0.17
42.97 Hz | Z: -9.12 Magnitude: 0.18
43.95 Hz | Z: -9.12 Magnitude: 0.18
44.92 Hz | Z: -9.12 Magnitude: 0.13
45.90 Hz | Z: -9.12 Magnitude: 0.08
46.88 Hz | Z: -9.13 Magnitude: 0.15
47.85 Hz | Z: -9.13 Magnitude: 0.06
48.83 Hz | Z: -9.13 Magnitude: 0.11
49.80 Hz | Z: -9.12 Magnitude: 0.16
50.78 Hz | Z: -9.12 Magnitude: 0.15
51.76 Hz | Z: -9.12 Magnitude: 0.11
52.73 Hz | Z: -9.12 Magnitude: 0.08
53.71 Hz | Z: -9.12 Magnitude: 0.06
54.69 Hz | Z: -9.12 Magnitude: 0.05
55.66 Hz | Z: -9.12 Magnitude: 0.07
56.64 Hz | Z: -9.12 Magnitude: 0.19
57.62 Hz | Z: -9.12 Magnitude: 0.13
58.59 Hz | Z: -9.12 Magnitude: 0.07
59.57 Hz | Z: -9.12 Magnitude: 0.10
60.55 Hz | Z: -9.13 Magnitude: 0.11
61.52 Hz | Z: -9.13 Magnitude: 0.03
62.50 Hz | Z: -9.13 Magnitude: 0.12
63.48 Hz | Z: -9.14 Magnitude: 0.09
64.45 Hz | Z: -9.14 Magnitude: 0.13
65.43 Hz | Z: -9.14 Magnitude: 0.12
66.41 Hz | Z: -9.14 Magnitude: 0.07
67.38 Hz | Z: -9.14 Magnitude: 0.02
68.36 Hz | Z: -9.14 Magnitude: 0.06
69.34 Hz | Z: -9.14 Magnitude: 0.14
70.31 Hz | Z: -9.14 Magnitude: 0.06
71.29 Hz | Z: -9.14 Magnitude: 0.04
72.27 Hz | Z: -9.14 Magnitude: 0.02
73.24 Hz | Z: -9.14 Magnitude: 0.05
74.22 Hz | Z: -9.13 Magnitude: 0.08
75.20 Hz | Z: -9.13 Magnitude: 0.08
76.17 Hz | Z: -9.13 Magnitude: 0.07
77.15 Hz | Z: -9.13 Magnitude: 0.06
78.12 Hz | Z: -9.14 Magnitude: 0.06
79.10 Hz | Z: -9.14 Magnitude: 0.10
80.08 Hz | Z: -9.14 Magnitude: 0.01
81.05 Hz | Z: -9.15 Magnitude: 0.10
82.03 Hz | Z: -9.14 Magnitude: 0.05
83.01 Hz | Z: -9.14 Magnitude: 0.05
83.98 Hz | Z: -9.14 Magnitude: 0.05
84.96 Hz | Z: -9.15 Magnitude: 0.08
85.94 Hz | Z: -9.15 Magnitude: 0.03
86.91 Hz | Z: -9.15 Magnitude: 0.08
87.89 Hz | Z: -9.14 Magnitude: 0.05
88.87 Hz | Z: -9.14 Magnitude: 0.04
89.84 Hz | Z: -9.14 Magnitude: 0.01
90.82 Hz | Z: -9.13 Magnitude: 0.12
91.80 Hz | Z: -9.13 Magnitude: 0.04
92.77 Hz | Z: -9.13 Magnitude: 0.02
93.75 Hz | Z: -9.13 Magnitude: 0.04
94.73 Hz | Z: -9.13 Magnitude: 0.02
95.70 Hz | Z: -9.13 Magnitude: 0.06
96.68 Hz | Z: -9.13 Magnitude: 0.10
97.66 Hz | Z: -9.13 Magnitude: 0.09
98.63 Hz | Z: -9.13 Magnitude: 0.04
99.61 Hz | Z: -9.13 Magnitude: 0.07
100.59 Hz | Z: -9.13 Magnitude: 0.02
101.56 Hz | Z: -9.13 Magnitude: 0.08
102.54 Hz | Z: -9.13 Magnitude: 0.08
103.52 Hz | Z: -9.13 Magnitude: 0.04
104.49 Hz | Z: -9.13 Magnitude: 0.04
105.47 Hz | Z: -9.13 Magnitude: 0.01
106.45 Hz | Z: -9.14 Magnitude: 0.06
107.42 Hz | Z: -9.14 Magnitude: 0.04
108.40 Hz | Z: -9.13 Magnitude: 0.04
109.37 Hz | Z: -9.13 Magnitude: 0.02
110.35 Hz | Z: -9.13 Magnitude: 0.02
111.33 Hz | Z: -9.13 Magnitude: 0.05
112.30 Hz | Z: -9.13 Magnitude: 0.05
113.28 Hz | Z: -9.13 Magnitude: 0.04
114.26 Hz | Z: -9.13 Magnitude: 0.07
115.23 Hz | Z: -9.13 Magnitude: 0.02
